A,F,ERN,TOTAL,GE10,OC1,PPS,IT	34.14 
A,F,ERN,TOTAL,GE10,OC1,PPS,LT	22.65 
A,F,ERN,TOTAL,GE10,OC1,PPS,LU	37.96 
A,F,ERN,TOTAL,GE10,OC1,PPS,LV	16.67 
A,F,ERN,TOTAL,GE10,OC1,PPS,MT	22.75 
A,F,ERN,TOTAL,GE10,OC1,PPS,NL	28.55 
A,F,ERN,TOTAL,GE10,OC1,PPS,NO	29.92 
A,F,ERN,TOTAL,GE10,OC1,PPS,PL	21.22 
A,F,ERN,TOTAL,GE10,OC1,PPS,PT	21.45 
A,F,ERN,TOTAL,GE10,OC1,PPS,RO	23.31 
A,F,ERN,TOTAL,GE10,OC1,PPS,RS	14.29 
A,F,ERN,TOTAL,GE10,OC1,PPS,SE	26.55 
A,F,ERN,TOTAL,GE10,OC1,PPS,SI	26.92 
A,F,ERN,TOTAL,GE10,OC1,PPS,SK	17.5 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,AL	3.81 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,AT	18.82 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,BA	6.39 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,BE	28.89 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,BG	5.81 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,CH	42.16 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,CY	13.03 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,CZ	9.34 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,DE	21.2 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,DK	31 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,EA19	18.94 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,EA20	18.83 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,EE	10.37 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,EL	9 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,ES	13.73 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,EU27_2020	17.7 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,FI	21.03 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,FR	19.97 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,HR	8.43 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,HU	7.41 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,IE	31.24 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,IS	27.61 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,IT	16.9 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,LT	11.24 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,LU	33.28 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,LV	9.18 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,MT	12.3 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,NL	20.53 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,NO	30.02 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,PL	8.98 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,PT	9.54 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,RO	8.44 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,RS	5.65 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,SE	20.94 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,SI	13.19 
A,F,ERN,TOTAL,GE10,OC1-5,EUR,SK	8.93 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,AL	453.44 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,AT	18.82 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,BA	12.49 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,BE	28.89 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,BG	11.37 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,CH	42.36 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,CY	13.03 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,CZ	229.36 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,DE	21.2 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,DK	230.62 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,EA19	18.94 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,EA20	19.39 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,EE	10.37 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,EL	9 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,ES	13.73 
