A,GE10,C,E_ITSP2,PC_ENT_CUSE,ES	19.37 	22.99 	26.39 	26.44 	20.26 	17.18 	15.81 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,EU15	22.80 	22.17 	22.84 	22.90 	21.60 	21.50 	: 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,EU27_2007	21.73 	20.89 	21.46 	21.51 	20.37 	20.34 	: 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,EU27_2020	20.99 	20.62 	21.24 	21.04 	20.00 	19.96 	21.11 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,EU28	21.72 	20.87 	21.48 	21.49 	20.36 	20.34 	21.70 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,FI	35.40 	27.57 	30.51 	26.00 	27.55 	30.36 	27.86 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,FR	16.13 	17.07 	18.21 	16.92 	19.35 	19.00 	20.36 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,HR	20.04 	19.09 	24.38 	18.64 	18.92 	19.49 	19.30 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,HU	29.67 	28.22 	26.24 	27.30 	26.31 	29.11 	28.01 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,IE	36.18 	33.79 	33.94 	42.08 	45.78 	37.51 	37.01 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,IS	16.27 	13.05 	: 	: 	9.87 	: 	: 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,IT	15.92 	17.00 	17.80 	18.52 	16.35 	: u	17.93 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,LT	21.37 	16.55 	15.42 	14.33 	14.75 	17.70 	15.66 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,LU	39.83 	25.22 	32.83 	32.07 	31.15 	29.36 	30.21 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,LV	20.91 	19.62 	16.13 	14.22 	11.80 	12.91 	: u	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,ME	: 	: 	: 	16.19 	19.55 	14.22 	9.53 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,MK	: u	10.24 	: u	11.70 	: 	: 	: 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,MT	19.77 	18.83 	20.62 	20.66 	17.55 	17.66 	23.05 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,NL	30.09 	32.20 	34.29 	30.30 	28.47 	27.57 	24.68 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,NO	32.21 	21.60 	20.67 	19.08 	23.15 	22.22 	19.85 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,PL	14.02 	11.47 	13.40 	13.12 	12.42 	13.17 	24.90 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,PT	27.75 	17.74 	15.03 	15.51 	19.05 	16.79 	16.87 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,RO	4.27 	11.12 	11.42 	10.15 	9.50 	8.71 	10.35 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,RS	: 	18.58 	: 	: 	20.30 	18.78 	21.81 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,SE	24.43 	20.60 	19.89 	15.96 	18.31 	16.86 	19.47 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,SI	21.12 	19.63 	20.86 	20.12 	19.10 	21.00 	20.38 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,SK	22.51 	20.59 	21.13 	21.20 	19.97 	18.65 	21.76 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,TR	: 	: 	: u	: 	: 	11.05 	14.91 	: 	: 	: 
A,GE10,C,E_ITSP2,PC_ENT_CUSE,UK	30.36 	23.67 	23.99 	26.39 	24.47 	24.65 	28.46 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT,AL	: 	: 	: 	: 	: 	: 	: 	: 	14.61 b	: 
A,GE10,C-E,E_ITSP2,PC_ENT,AT	35.31 	31.11 	31.72 	35.27 	30.12 	27.88 	29.24 	27.98 	29.17 	30.23 
A,GE10,C-E,E_ITSP2,PC_ENT,BA	: 	: 	: 	: 	: 	13.44 	13.78 	13.34 	12.79 	15.03 
A,GE10,C-E,E_ITSP2,PC_ENT,BE	32.79 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,GE10,C-E,E_ITSP2,PC_ENT,BG	10.71 	17.63 	17.11 	16.40 	18.39 	14.93 	16.39 	15.22 	15.51 	15.93 
A,GE10,C-E,E_ITSP2,PC_ENT,CY	13.30 	16.09 	16.68 	16.24 	14.42 	16.53 	18.55 	15.15 	17.03 	16.03 
A,GE10,C-E,E_ITSP2,PC_ENT,CZ	32.61 	23.11 	22.28 	23.71 	23.34 	22.82 	23.09 	21.50 	21.27 	22.72 
A,GE10,C-E,E_ITSP2,PC_ENT,DE	26.12 	26.65 	26.00 	24.72 	24.16 	25.88 	24.48 	25.25 	26.33 	27.44 
A,GE10,C-E,E_ITSP2,PC_ENT,DK	28.51 	26.71 	24.25 	25.99 	26.23 	25.85 	27.96 	30.61 	33.05 	28.01 
A,GE10,C-E,E_ITSP2,PC_ENT,EA	21.64 	21.93 	22.53 	22.38 	21.22 	21.08 	21.10 	20.08 	20.90 	20.51 
A,GE10,C-E,E_ITSP2,PC_ENT,EE	15.13 	13.42 	13.61 	13.73 	14.63 	13.07 	12.91 	15.39 	15.16 	17.30 
A,GE10,C-E,E_ITSP2,PC_ENT,EL	: u	: u	: u	: u	: u	: u	: u	: u	17.68 	19.83 
A,GE10,C-E,E_ITSP2,PC_ENT,ES	19.49 	23.19 	26.09 	26.47 	20.53 	17.32 	16.11 	17.34 	13.65 	14.22 
A,GE10,C-E,E_ITSP2,PC_ENT,EU15	22.60 	22.29 	22.83 	22.84 	21.74 	21.55 	: 	: 	: 	: 
