geo,nace_r2,spec_ict,year
FI,L,26.04,2024
FI,M,38.59,2020
FI,M,41.37,2022
FI,M,40.23,2024
FI,N,29.44,2020
FI,N,29.54,2022
FI,N,32.6,2024
FR,C,19.15,2020
FR,C,20.45,2022
FR,C,17.55,2024
FR,D,37.49,2020
FR,D,43.34,2022
FR,D,48.13,2024
FR,E,15.09,2020
FR,E,17.44,2022
FR,E,15.31,2024
FR,F,6.87,2020
FR,F,4.89,2022
FR,F,7.53,2024
FR,G,14.53,2020
FR,G,16.1,2022
FR,G,12.8,2024
FR,H,13.8,2020
FR,H,8.99,2022
FR,H,6.74,2024
FR,I,6.98,2020
FR,I,7.24,2022
FR,I,8.96,2024
FR,J,70.46,2020
FR,J,80.66,2022
FR,J,73.54,2024
FR,L,29.88,2020
FR,L,34.54,2022
FR,L,19.3,2024
FR,M,23.18,2020
FR,M,26.8,2022
FR,M,22.44,2024
FR,N,19.4,2020
FR,N,14.2,2022
FR,N,14.27,2024
HR,C,16.61,2020
HR,C,15.15,2022
HR,C,14.29,2024
HR,D,36.51,2020
HR,D,38.25,2022
HR,D,9.17,2024
HR,E,26.06,2020
HR,E,27.3,2022
HR,E,26.55,2024
HR,F,8.44,2020
HR,F,2.35,2022
HR,F,5.11,2024
HR,G,15.18,2020
HR,G,17.99,2022
HR,G,13.12,2024
HR,H,11.86,2020
HR,H,11.12,2022
HR,H,10.03,2024
HR,I,7.34,2020
HR,I,7.24,2022
HR,I,4.88,2024
HR,J,78.66,2020
HR,J,80.87,2022
HR,J,85.08,2024
HR,L,9.24,2020
HR,L,9.68,2022
HR,L,7.42,2024
HR,M,22.52,2020
HR,M,23.6,2022
HR,M,22.83,2024
HR,N,16.08,2020
HR,N,20.29,2022
HR,N,22.09,2024
HU,C,30.72,2020
HU,C,34.97,2022
HU,C,30.38,2024
HU,D,38.46,2020
HU,D,43.06,2022
HU,D,48.08,2024
HU,E,42.35,2020
HU,E,47.41,2022
HU,E,41.62,2024
HU,F,21.25,2020
HU,F,15.13,2022
HU,F,15.22,2024
HU,G,27.89,2020
HU,G,26.56,2022
HU,G,30.01,2024
HU,H,25.12,2020
HU,H,27.71,2022
HU,H,26.91,2024
