geo,nace_r2,real_wage,year
CY,B,14.619309262166405,2021
CY,B,13.615321775437957,2022
CY,B,14.323144104803493,2023
CY,B,14.604150653343584,2024
CY,B,14.822971370489583,2025
CY,C,10.53476472358784,2020
CY,C,10.204081632653061,2021
CY,C,9.712262866479076,2022
CY,C,9.868995633187772,2023
CY,C,10.163122384490562,2024
CY,C,10.418431306115535,2025
CY,D,20.868867261964482,2020
CY,D,21.389324960753534,2021
CY,D,21.60297721702823,2022
CY,D,22.270742358078603,2023
CY,D,22.546758903407632,2024
CY,D,23.632051499237676,2025
CY,E,11.638406742249423,2020
CY,E,11.479591836734693,2021
CY,E,10.983026232186619,2022
CY,E,11.179039301310043,2023
CY,E,11.187975061918182,2024
CY,E,11.519566322209046,2025
CY,F,12.240393297883013,2020
CY,F,12.166405023547881,2021
CY,F,11.618407915040391,2022
CY,F,11.790393013100436,2023
CY,F,11.956614569988897,2024
CY,F,12.281890564119939,2025
CY,G,9.732115982743052,2020
CY,G,9.615384615384617,2021
CY,G,9.439956430970318,2022
CY,G,9.606986899563319,2023
CY,G,9.821504825348022,2024
CY,G,9.910215144841604,2025
CY,H,15.04966389083977,2020
CY,H,13.834379905808477,2021
CY,H,13.706090587274211,2022
CY,H,13.624454148471616,2023
CY,H,14.689555043129216,2024
CY,H,15.246484838217855,2025
CY,I,6.421189926758303,2020
CY,I,6.868131868131868,2021
CY,I,7.8968866297540155,2022
CY,I,7.59825327510917,2023
CY,I,7.857203860278418,2024
CY,I,7.962053193291546,2025
CY,J,22.674826928865258,2020
CY,J,22.46860282574568,2021
CY,J,23.69065988926205,2022
CY,J,26.724890829694324,2023
CY,J,27.07319156204629,2024
CY,J,27.782483482974758,2025
CY,K,26.688070633089193,2020
CY,K,25.706436420722135,2021
CY,K,25.3244985023146,2022
CY,K,26.375545851528383,2023
CY,K,27.158595951831927,2024
CY,K,28.205996950703028,2025
CY,L,12.340724390488612,2020
CY,L,12.755102040816327,2021
CY,L,12.43532722156667,2022
CY,L,12.40174672489083,2023
CY,L,12.896062857630882,2024
CY,L,13.298322886667796,2025
CY,M,16.353968094712553,2020
CY,M,16.091051805337518,2021
CY,M,15.70300444767178,2022
CY,M,15.982532751091705,2023
CY,M,16.31223844905628,2024
CY,M,16.686430628493984,2025
CY,N,11.437744557038226,2020
CY,N,11.577708006279435,2021
CY,N,11.52763910320414,2022
CY,N,12.052401746724891,2023
CY,N,12.554445298488343,2024
CY,N,12.959512112485177,2025
CY,O,15.852312631684558,2020
CY,O,16.091051805337518,2021
CY,O,15.521466823999274,2022
CY,O,16.069868995633186,2023
CY,O,16.397642838841918,2024
CY,O,17.025241402676606,2025
