geo,nace_r2,year,share_high_skill
CZ,O,2020,49.92627543497493
CZ,O,2021,50.225563909774436
CZ,O,2022,52.45009074410163
CZ,O,2023,53.431372549019606
CZ,O,2024,56.08067429259482
CZ,O,2025,56.9801401869159
CZ,P,2020,72.08061647895674
CZ,P,2021,71.91466378611936
CZ,P,2022,69.67075892857144
CZ,P,2023,72.4821133736929
CZ,P,2024,73.20041429311239
CZ,P,2025,72.3054259759391
CZ,Q,2020,65.1108818978855
CZ,Q,2021,65.2049073348995
CZ,Q,2022,63.47197106690777
CZ,Q,2023,63.44701900546733
CZ,Q,2024,62.43890518084066
CZ,Q,2025,63.787843229288896
CZ,R,2020,53.13953488372093
CZ,R,2021,58.42424242424242
CZ,R,2022,57.837181044957475
CZ,R,2023,56.55940594059407
CZ,R,2024,58.61214374225526
CZ,R,2025,60.93073593073592
DE,C,2020,35.580719281987484
DE,C,2021,37.74713236241784
DE,C,2022,37.12603960005781
DE,C,2023,38.41151630442114
DE,C,2024,39.78380583316337
DE,C,2025,41.083159306844436
DE,F,2020,23.157315731573156
DE,F,2021,25.116822429906545
DE,F,2022,25.512783325736542
DE,F,2023,26.2013818802888
DE,F,2024,26.880233844209194
DE,F,2025,28.392204628501826
DE,G,2020,26.338746339565454
DE,G,2021,26.913214784548355
DE,G,2022,26.668976904417313
DE,G,2023,26.151352000480355
DE,G,2024,26.159280404156576
DE,G,2025,27.400752193898875
DE,H,2020,17.764504175654004
DE,H,2021,17.737617135207497
DE,H,2022,18.260778568438678
DE,H,2023,18.267488220369696
DE,H,2024,18.78512865466921
DE,H,2025,19.48506371422603
DE,J,2020,76.4946346448646
DE,J,2021,80.37414509856511
DE,J,2022,80.64906911502167
DE,J,2023,82.15881956774629
DE,J,2024,83.05125872004852
DE,J,2025,83.56641183417241
DE,K,2020,50.30519223147047
DE,K,2021,55.372602274656245
DE,K,2022,56.512977591488
DE,K,2023,57.72491756947715
DE,K,2024,58.68881541811144
DE,K,2025,59.41432528690147
DE,M,2020,72.5845294287641
DE,M,2021,76.74735249621784
DE,M,2022,76.98364056385839
DE,M,2023,76.80076541072486
DE,M,2024,77.17356060956968
DE,M,2025,78.33386852607917
DE,N,2020,19.862589749938103
DE,N,2021,21.232233423079332
DE,N,2022,21.580298148856006
DE,N,2023,21.939248513933578
DE,N,2024,23.285722103650194
DE,N,2025,21.456769530164024
DE,O,2020,48.89893405821447
DE,O,2021,50.58956347215252
DE,O,2022,50.823375347847445
DE,O,2023,49.43853920229249
DE,O,2024,50.22592152199763
DE,O,2025,51.757434012696294
DE,P,2020,81.93862788395644
DE,P,2021,84.13993945664252
DE,P,2022,83.03236924921326
DE,P,2023,82.28230440548107
DE,P,2024,82.23542707156139
DE,P,2025,81.86356073211314
DE,Q,2020,71.48001790893694
DE,Q,2021,73.3794791387816
DE,Q,2022,72.85169688516969
DE,Q,2023,73.45094818042213
DE,Q,2024,73.21518547476327
DE,Q,2025,72.92598703795058
DE,S,2020,33.744557329462985
DE,S,2021,38.0587219343696
DE,S,2022,37.872815172926735
DE,S,2023,37.485019688409515
DE,S,2024,39.11144704795499
DE,S,2025,38.41982958946553
DK,C,2020,45.586297760210805
DK,C,2021,46.193055113093344
DK,C,2022,44.69096671949287
DK,C,2023,45.26148969889066
DK,C,2024,47.651632970451004
DK,C,2025,47.5
DK,F,2020,24.745965331739388
DK,F,2021,23.236741388737016
DK,F,2022,25.556792873051226
DK,F,2023,26.359600443951166
DK,F,2024,26.21878715814507
DK,F,2025,24.942528735632187
DK,G,2020,36.65223665223665
DK,G,2021,37.83783783783783
DK,G,2022,37.353567625133124
DK,G,2023,36.23955431754876
DK,G,2024,35.279329608938546
DK,G,2025,36.301369863013704
DK,H,2020,28.422876949740033
DK,H,2021,28.24360105913504
DK,H,2022,27.106863596872287
DK,H,2023,32.02995008319468
DK,H,2024,30.724396336386345
DK,H,2025,29.253472222222225
DK,J,2020,90.29038112522686
DK,J,2021,90.59322033898306
DK,J,2022,90.36437246963564
DK,J,2023,91.20188531029066
DK,J,2024,88.60971524288107
DK,J,2025,89.19597989949747
DK,K,2020,85.50000000000001
DK,K,2021,86.61616161616162
DK,K,2022,86.8187579214195
DK,K,2023,86.09112709832132
DK,K,2024,83.2282471626734
DK,K,2025,80.91697645600992
DK,M,2020,86.5625
DK,M,2021,86.94817658349328
DK,M,2022,88.14955640050695
DK,M,2023,85.94132029339853
DK,M,2024,85.87699316628704
DK,M,2025,86.70953912111469
DK,N,2020,30.987202925045697
DK,N,2021,31.773177317731776
DK,N,2022,31.728045325779036
DK,N,2023,33.59073359073359
DK,N,2024,30.806142034548945
DK,N,2025,31.48479427549195
DK,O,2020,64.66265865063463
DK,O,2021,67.96116504854369
DK,O,2022,67.73985833869929
DK,O,2023,65.71254567600488
DK,O,2024,65.48253404381292
DK,O,2025,64.33313216656609
DK,P,2020,76.49899396378271
DK,P,2021,74.42414614773628
