geo,nace_r2,year,FSI
DK,F,2021,14.473185861543028
DK,F,2022,16.0510706845719
DK,F,2023,17.051640650846643
DK,F,2024,17.654417591618863
DK,G,2021,37.966656157226865
DK,G,2022,38.72484660384486
DK,G,2023,39.10710444091584
DK,G,2024,39.20967970129239
DK,H,2021,50.00946564671401
DK,H,2022,49.96621438996702
DK,H,2023,53.001144816029985
DK,H,2024,54.422231260008644
DK,I,2021,14.135072295853263
DK,I,2022,16.27191753598353
DK,I,2023,16.90165149810819
DK,I,2024,16.425983697292946
DK,J,2021,33.311782515453515
DK,J,2022,32.11959383226777
DK,J,2023,32.10027171268816
DK,J,2024,31.175456739055495
DK,K,2021,67.7021485626415
DK,K,2022,66.19063258149612
DK,K,2023,65.94812585723352
DK,K,2024,66.20159627671518
DK,L,2021,13.211468518256106
DK,L,2022,15.092203421375064
DK,L,2023,14.133293877819424
DK,L,2024,14.166963543522145
DK,M,2021,29.78861316152681
DK,M,2022,32.782489854256
DK,M,2023,34.687099230522605
DK,M,2024,35.909356725146196
DK,N,2021,42.928110404975165
DK,N,2022,41.36473465801488
DK,N,2023,39.67025915063843
DK,N,2024,39.331769517623
DK,P,2021,0.0
DK,P,2022,0.0
DK,P,2023,0.0
DK,P,2024,0.0
DK,Q,2021,20.859113927605282
DK,Q,2022,19.273720061725577
DK,Q,2023,18.39223494275759
DK,Q,2024,19.74719873513439
DK,R,2021,24.00259098433414
DK,R,2022,24.70046830336327
DK,R,2023,26.675213348130573
DK,R,2024,26.75946257769176
EE,B,2021,23.003194888178914
EE,B,2022,22.780797101449277
EE,B,2023,22.654867256637168
EE,B,2024,23.620611035111718
EE,C,2021,21.77333369172737
EE,C,2022,22.857168104057685
EE,C,2023,22.41879243897963
EE,C,2024,22.36472677960922
EE,D,2021,53.95825128003151
EE,D,2022,56.967441860465115
EE,D,2023,57.89007092198582
EE,D,2024,63.00513149454778
EE,E,2021,29.716494845360824
EE,E,2022,28.093645484949832
EE,E,2023,28.337874659400548
EE,E,2024,29.73352033660589
EE,F,2021,5.636067910597782
EE,F,2022,5.451874891999308
EE,F,2023,5.66270148518336
EE,F,2024,4.37586621084727
EE,G,2021,25.89390163267382
EE,G,2022,25.9776371058392
EE,G,2023,26.525693319541755
EE,G,2024,26.17213229276861
EE,H,2021,20.59449058132469
EE,H,2022,21.522727272727273
EE,H,2023,18.612401270041197
EE,H,2024,20.490038429042546
EE,I,2021,0.0
EE,I,2022,9.871566884015017
EE,I,2023,10.253640731498379
EE,I,2024,11.473263004728992
EE,J,2021,23.359655419956926
EE,J,2022,23.584710208732584
EE,J,2023,23.708920187793428
EE,J,2024,23.334681087637723
EE,K,2021,42.309742769558845
EE,K,2022,44.22980115781525
EE,K,2023,46.934302359116344
EE,K,2024,47.923471768548765
EE,L,2021,0.0
EE,L,2022,0.0
EE,L,2023,0.0
EE,L,2024,0.0
EE,M,2021,0.0
EE,M,2022,0.0
EE,M,2023,0.0
EE,M,2024,0.0
EE,N,2021,31.22631370552633
EE,N,2022,28.07117070654977
EE,N,2023,28.260642465395662
EE,N,2024,28.251144956864415
EE,P,2021,0.0
EE,P,2022,0.0
EE,P,2023,0.0
EE,P,2024,0.0
EE,Q,2021,13.31633375832271
EE,Q,2022,12.636250897461002
EE,Q,2023,10.27579795475674
EE,Q,2024,17.406260749914
EE,R,2021,0.0
EE,R,2022,0.0
EE,R,2023,0.0
EE,R,2024,0.0
EL,B,2021,37.664748468535365
EL,B,2022,0.0
EL,B,2023,43.02960145526708
EL,B,2024,45.911949685534594
EL,C,2021,23.77185108968114
EL,C,2022,24.042554888733484
EL,C,2023,25.78627526715592
EL,C,2024,24.83161620805479
EL,D,2021,51.58919413321138
EL,D,2022,53.27072005272697
EL,D,2023,52.417713750444136
EL,D,2024,45.285262835978116
EL,E,2021,21.687609870434272
EL,E,2022,24.605504587155963
EL,E,2023,20.5658324265506
EL,E,2024,20.191792244922272
EL,F,2021,5.202243169072903
EL,F,2022,4.470880411417057
EL,F,2023,5.150421954519101
EL,F,2024,4.44324217981507
EL,G,2021,18.73925501432665
EL,G,2022,18.349982273570937
EL,G,2023,19.12092523143899
EL,G,2024,17.66029935571584
EL,H,2021,18.593004147429376
EL,H,2022,19.759602463445734
EL,H,2023,19.781148809238967
EL,H,2024,19.18613487608168
EL,I,2021,5.4820928816404315
EL,I,2022,7.458009009789729
EL,I,2023,7.754314650866374
EL,I,2024,6.770882279497252
EL,J,2021,35.22096471336665
EL,J,2022,32.42874483641188
EL,J,2023,31.839054936270372
EL,J,2024,30.85574365685819
EL,K,2021,57.54270537002333
EL,K,2022,55.66534730739213
EL,K,2023,54.40970799723112
EL,K,2024,55.29722788730267
EL,L,2021,0.0
EL,L,2022,0.0
EL,L,2023,0.0
EL,L,2024,2.5763239093896595
EL,M,2021,7.392486313007362
EL,M,2022,7.474179219566232
EL,M,2023,8.766467558652282
EL,M,2024,9.235397246625343
EL,N,2021,37.78734764789139
EL,N,2022,37.92417408553144
EL,N,2023,38.13337379732039
EL,N,2024,37.76804622899528
EL,P,2021,12.094349403836183
EL,P,2022,16.006228988858666
EL,P,2023,13.389628188690924
EL,P,2024,13.134178616526265
EL,Q,2021,12.510144721486668
EL,Q,2022,11.457284677649305
EL,Q,2023,11.797249919188403
EL,Q,2024,10.708898944193061
EL,R,2021,0.0
EL,R,2022,0.0
EL,R,2023,0.0
EL,R,2024,7.474999299700272
ES,B,2021,19.724845771687505
ES,B,2022,22.128806251684182
ES,B,2023,20.076834017471846
ES,B,2024,20.947836103340464
ES,C,2021,36.572020594244925
ES,C,2022,37.9482148752535
ES,C,2023,39.424220129076296
ES,C,2024,38.80960127644478
ES,D,2021,54.26599453500424
ES,D,2022,51.395027007722874
ES,D,2023,53.47490347490348
ES,D,2024,48.367359945614076
ES,E,2021,68.7885707401749
ES,E,2022,69.55278864863683
ES,E,2023,67.64246510553582
ES,E,2024,67.85708325684628
ES,F,2021,10.917307237238843
ES,F,2022,9.409380428488708
ES,F,2023,9.473231671850897
ES,F,2024,9.870762410636491
ES,G,2021,30.588828753496433
ES,G,2022,31.55917243277721
ES,G,2023,33.12926578359837
ES,G,2024,32.14370865684038
ES,H,2021,35.8254407532774
ES,H,2022,37.51864454181039
ES,H,2023,38.71388528542038
ES,H,2024,37.83339800435609
ES,I,2021,18.527360758784756
ES,I,2022,20.238662124849604
ES,I,2023,21.56932227220413
ES,I,2024,21.67102312021783
ES,J,2021,49.85604649456663
ES,J,2022,53.383032064410074
ES,J,2023,54.16340417169475
ES,J,2024,54.09254953217586
ES,K,2021,76.22326242557301
ES,K,2022,76.61852091868677
ES,K,2023,77.08483598201425
ES,K,2024,78.75503745360989
ES,L,2021,3.641211169099931
ES,L,2022,3.9234470916822035
ES,L,2023,3.940564568560154
ES,L,2024,3.63120445267051
ES,M,2021,20.828927618103975
ES,M,2022,21.728909642474832
ES,M,2023,22.157128070353828
ES,M,2024,21.732894273380353
ES,N,2021,62.028686909993795
ES,N,2022,61.83285554264081
ES,N,2023,62.05200934562174
ES,N,2024,59.35604245713921
ES,P,2021,17.68363754812428
ES,P,2022,19.166161769160862
ES,P,2023,20.178200436702706
ES,P,2024,24.00736903753319
ES,Q,2021,40.53039925358075
ES,Q,2022,41.690575179157605
ES,Q,2023,43.05042037659065
ES,Q,2024,47.539851910245225
ES,R,2021,20.972754887817693
ES,R,2022,23.154400507202443
ES,R,2023,24.556868637096752
ES,R,2024,25.418303624576556
FI,B,2021,44.525086778163455
FI,B,2022,42.372120849536344
FI,B,2023,38.775510204081634
FI,B,2024,39.90237949969494
FI,C,2021,48.33227972885854
FI,C,2022,48.28941200820595
FI,C,2023,48.81263372265693
FI,C,2024,49.06552364378374
FI,D,2021,41.462196861626246
FI,D,2022,41.80580889574856
FI,D,2023,40.77005634558626
FI,D,2024,39.80054397098821
FI,E,2021,31.896057053856875
FI,E,2022,32.69121813031162
FI,E,2023,32.60801502817783
FI,E,2024,32.758216878757125
FI,F,2021,18.405160887779658
FI,F,2022,17.284449545486385
FI,F,2023,16.9250846892875
FI,F,2024,16.81984211146459
FI,G,2021,40.0503954902308
FI,G,2022,40.463951124468416
FI,G,2023,40.84473775126735
FI,G,2024,40.99100381483801
FI,H,2021,35.19026523309231
FI,H,2022,35.04318716543764
FI,H,2023,36.78510920829709
FI,H,2024,37.30547661110684
FI,I,2021,17.349438427288273
FI,I,2022,18.308989125538897
FI,I,2023,17.468892261001518
FI,I,2024,16.765726207515584
FI,J,2021,36.42147447735835
FI,J,2022,38.43537710066718
FI,J,2023,39.035659180524604
FI,J,2024,39.061156444678424
FI,K,2021,52.83408923109376
FI,K,2022,51.4882748079321
FI,K,2023,53.125
FI,K,2024,55.441131846457296
FI,L,2021,13.500356209926384
FI,L,2022,11.493875765529308
FI,L,2023,12.641502566155863
FI,L,2024,11.522587841606246
FI,M,2021,20.11048565782382
FI,M,2022,21.56348594264881
FI,M,2023,24.428925182938706
FI,M,2024,24.398957572633417
FI,N,2021,44.62709475690264
FI,N,2022,44.72306179297988
FI,N,2023,40.205803845282375
FI,N,2024,40.16739844709727
FI,P,2021,0.0
FI,P,2022,11.207327227310575
FI,P,2023,0.0
FI,P,2024,6.901217861975644
FI,Q,2021,48.31914690130069
FI,Q,2022,48.22077737882849
FI,Q,2023,49.31672733161078
FI,Q,2024,50.3987906314983
FI,R,2021,14.839457417582416
FI,R,2022,12.643721491310739
FI,R,2023,13.55495004541326
FI,R,2024,13.74411099157918
FR,B,2021,0.0
FR,B,2022,0.0
FR,B,2023,0.0
FR,B,2024,39.302158273381295
FR,C,2021,59.49524248283037
FR,C,2022,60.03557999082227
FR,C,2023,60.76639985279234
FR,C,2024,60.83176150561115
FR,D,2021,95.18432546889812
FR,D,2022,94.6735026881838
FR,D,2023,94.30949740438514
FR,D,2024,90.04067924885294
FR,E,2021,0.0
FR,E,2022,0.0
FR,E,2023,0.0
FR,E,2024,78.66237377433045
FR,F,2021,0.0
FR,F,2022,24.33755667670893
FR,F,2023,24.809635568987993
FR,F,2024,25.609046005585768
FR,G,2021,40.878450779377545
FR,G,2022,40.49631800671638
FR,G,2023,40.86394592062524
FR,G,2024,40.73367417327526
FR,H,2021,65.30014188998015
FR,H,2022,66.03095129722348
FR,H,2023,66.23164521853398
FR,H,2024,66.47448069586287
FR,I,2021,21.726339166218565
FR,I,2022,22.534282260299914
FR,I,2023,22.908889545918957
FR,I,2024,20.626856567794945
FR,J,2021,58.78005176778681
FR,J,2022,57.3320931518368
FR,J,2023,58.05543417994352
FR,J,2024,56.674396111881165
FR,K,2021,80.89182040177447
FR,K,2022,0.0
FR,K,2023,0.0
FR,K,2024,81.43696520995384
FR,L,2021,43.078721632008886
FR,L,2022,0.0
FR,L,2023,0.0
FR,L,2024,40.362689779535806
FR,M,2021,24.105770283110832
FR,M,2022,24.2565617126362
FR,M,2023,25.21409796400575
FR,M,2024,25.458400118933543
FR,N,2021,64.9425712041291
FR,N,2022,64.1506739274311
FR,N,2023,63.334816568976926
FR,N,2024,62.533545351572705
FR,P,2021,18.60165529122804
FR,P,2022,19.715125713129122
FR,P,2023,0.0
FR,P,2024,20.2122365250745
FR,Q,2021,33.37061164078756
FR,Q,2022,34.56196533832653
FR,Q,2023,0.0
FR,Q,2024,34.34525738760058
FR,R,2021,26.941997664477334
FR,R,2022,0.0
FR,R,2023,28.19883972810796
FR,R,2024,27.485709625521753
HR,B,2021,0.0
HR,B,2022,0.0
HR,B,2023,0.0
HR,B,2024,0.0
HR,C,2021,39.25078666292417
HR,C,2022,38.83036634344744
HR,C,2023,37.89525852557401
HR,C,2024,37.32893806040627
HR,D,2021,81.76310415248467
HR,D,2022,80.87778528021607
HR,D,2023,79.30031082600357
HR,D,2024,78.52481708522839
HR,E,2021,40.03547814868569
HR,E,2022,38.583414004517586
HR,E,2023,36.12758922493436
HR,E,2024,36.69377718933233
HR,F,2021,8.657853995474573
HR,F,2022,7.807529351345954
HR,F,2023,7.151240277694894
HR,F,2024,6.204540240219758
HR,G,2021,38.34217391841933
HR,G,2022,39.49726625353117
HR,G,2023,40.336492928091175
HR,G,2024,40.827209468686995
HR,H,2021,32.24368899360485
HR,H,2022,31.887608820309648
HR,H,2023,29.477551929334044
HR,H,2024,27.899165564619004
HR,I,2021,17.209384898573205
HR,I,2022,18.90551562068012
HR,I,2023,19.340287566957993
HR,I,2024,19.58734141921093
HR,J,2021,31.124098697975207
HR,J,2022,31.82605379812199
HR,J,2023,31.517527058928334
HR,J,2024,28.96101600023573
HR,K,2021,78.3844447344382
HR,K,2022,78.32342821395058
HR,K,2023,78.49623270588853
HR,K,2024,78.56721540028956
HR,L,2021,0.0
HR,L,2022,0.0
HR,L,2023,0.0
HR,L,2024,0.0
HR,M,2021,4.591557170813531
HR,M,2022,5.161491887699037
HR,M,2023,5.3508736120182885
HR,M,2024,5.837428216209816
HR,N,2021,34.37074629875477
HR,N,2022,35.203929038046816
HR,N,2023,33.97092690654658
HR,N,2024,31.237802028642896
HR,P,2021,0.0
HR,P,2022,0.0
HR,P,2023,0.0
HR,P,2024,0.0
HR,Q,2021,1.755264004575841
HR,Q,2022,1.6762904636920386
HR,Q,2023,3.7442125746493993
HR,Q,2024,5.479000461528318
HR,R,2021,36.614978554932364
HR,R,2022,35.132776461787806
HR,R,2023,33.59324992726215
HR,R,2024,34.329980973090514
HU,B,2021,0.0
