geo,nace_r2,training_ict,year
HR,I,8.02,2024
HR,J,69.7,2020
HR,J,68.28,2021
HR,J,66.86,2022
HR,J,70.17,2023
HR,J,73.48,2024
HR,N,23.68,2020
HR,N,20.13,2021
HR,N,16.58,2022
HR,N,20.795,2023
HR,N,25.01,2024
HU,C,17.25,2020
HU,C,17.4,2021
HU,C,17.55,2022
HU,C,17.495,2023
HU,C,17.44,2024
HU,F,9.66,2020
HU,F,11.29,2021
HU,F,12.92,2022
HU,F,12.530000000000001,2023
HU,F,12.14,2024
HU,G,14.17,2020
HU,G,16.0,2021
HU,G,17.83,2022
HU,G,18.5,2023
HU,G,19.17,2024
HU,H,11.45,2020
HU,H,10.594999999999999,2021
HU,H,9.74,2022
HU,H,12.73,2023
HU,H,15.72,2024
HU,I,6.3,2020
HU,I,7.0600000000000005,2021
HU,I,7.82,2022
HU,I,7.485,2023
HU,I,7.15,2024
HU,J,53.47,2020
HU,J,53.835,2021
HU,J,54.2,2022
HU,J,54.66,2023
HU,J,55.12,2024
HU,N,12.89,2020
HU,N,14.685,2021
HU,N,16.48,2022
HU,N,17.515,2023
HU,N,18.55,2024
IE,C,31.8,2020
IE,C,30.1,2021
IE,C,28.4,2022
IE,C,28.7,2023
IE,C,29.0,2024
IE,F,19.77,2020
IE,F,18.240000000000002,2021
IE,F,16.71,2022
IE,F,14.385000000000002,2023
IE,F,12.06,2024
IE,G,20.08,2020
IE,G,21.119999999999997,2021
IE,G,22.16,2022
IE,G,20.785,2023
IE,G,19.41,2024
IE,H,13.37,2020
IE,H,15.774999999999999,2021
IE,H,18.18,2022
IE,H,17.855,2023
IE,H,17.53,2024
IE,I,13.3,2020
IE,I,12.225000000000001,2021
IE,I,11.15,2022
IE,I,9.035,2023
IE,I,6.92,2024
IE,J,65.26,2020
IE,J,61.205,2021
IE,J,57.15,2022
IE,J,54.71,2023
IE,J,52.27,2024
IE,N,36.81,2020
IE,N,30.830000000000002,2021
IE,N,24.85,2022
IE,N,26.625,2023
IE,N,28.4,2024
IT,C,15.53,2020
IT,C,17.25,2021
IT,C,18.97,2022
IT,C,19.490000000000002,2023
IT,C,20.01,2024
IT,F,9.33,2020
IT,F,11.395,2021
IT,F,13.46,2022
IT,F,12.555,2023
IT,F,11.65,2024
IT,G,15.4,2020
IT,G,18.435,2021
IT,G,21.47,2022
IT,G,19.295,2023
IT,G,17.12,2024
IT,H,13.08,2020
IT,H,15.309999999999999,2021
IT,H,17.54,2022
IT,H,15.405,2023
IT,H,13.27,2024
IT,I,7.17,2020
IT,I,8.280000000000001,2021
IT,I,9.39,2022
IT,I,9.57,2023
IT,I,9.75,2024
IT,J,56.29,2020
IT,J,54.4,2021
IT,J,52.51,2022
IT,J,52.415,2023
IT,J,52.32,2024
IT,N,11.96,2020
IT,N,15.585,2021
IT,N,19.21,2022
IT,N,18.009999999999998,2023
IT,N,16.81,2024
LT,C,12.73,2020
LT,C,11.965,2021
LT,C,11.2,2022
LT,C,12.485,2023
LT,C,13.77,2024
LT,F,7.87,2020
LT,F,6.23,2021
LT,F,4.59,2022
LT,F,5.4350000000000005,2023
LT,F,6.28,2024
LT,G,15.49,2020
LT,G,15.82,2021
LT,G,16.15,2022
LT,G,14.62,2023
LT,G,13.09,2024
LT,H,5.25,2020
LT,H,5.79,2021
LT,H,6.33,2022
LT,H,5.825,2023
LT,H,5.32,2024
LT,I,5.51,2020
LT,I,5.234999999999999,2021
LT,I,4.96,2022
LT,I,5.45,2023
LT,I,5.94,2024
LT,J,53.44,2020
LT,J,58.269999999999996,2021
LT,J,63.1,2022
LT,J,61.84,2023
LT,J,60.58,2024
LT,N,21.65,2020
LT,N,17.189999999999998,2021
LT,N,12.73,2022
LT,N,14.49,2023
LT,N,16.25,2024
LU,C,18.81,2020
LU,C,24.33,2021
LU,C,29.85,2022
LU,C,29.095,2023
LU,C,28.34,2024
LU,F,10.46,2020
LU,F,10.325,2021
LU,F,10.19,2022
LU,F,12.125,2023
LU,F,14.06,2024
LU,G,21.32,2020
LU,G,20.405,2021
LU,G,19.49,2022
LU,G,22.465,2023
LU,G,25.44,2024
LU,H,16.6,2020
LU,H,17.3,2021
LU,H,18.0,2022
LU,H,19.455,2023
LU,H,20.91,2024
LU,I,5.12,2020
LU,I,6.37,2021
LU,I,7.62,2022
LU,I,5.984999999999999,2023
LU,I,4.35,2024
LU,J,70.91,2020
LU,J,70.25,2021
LU,J,69.59,2022
LU,J,69.76,2023
LU,J,69.93,2024
LU,N,11.61,2020
LU,N,17.6,2021
LU,N,23.59,2022
LU,N,21.775,2023
LU,N,19.96,2024
LV,C,12.59,2020
LV,C,12.15,2021
LV,C,11.71,2022
LV,C,10.71,2023
LV,C,9.71,2024
LV,F,14.68,2020
LV,F,13.135,2021
LV,F,11.59,2022
LV,F,8.94,2023
LV,F,6.29,2024
LV,G,16.34,2020
LV,G,15.98,2021
LV,G,15.62,2022
LV,G,15.695,2023
LV,G,15.77,2024
LV,H,12.79,2020
LV,H,12.48,2021
LV,H,12.17,2022
LV,H,12.025,2023
LV,H,11.88,2024
LV,I,8.11,2020
LV,I,6.17,2021
LV,I,4.23,2022
LV,I,5.54,2023
LV,I,6.85,2024
LV,J,51.08,2020
LV,J,50.295,2021
LV,J,49.51,2022
LV,J,52.775,2023
LV,J,56.04,2024
LV,N,17.87,2020
LV,N,16.015,2021
LV,N,14.16,2022
LV,N,15.095,2023
LV,N,16.03,2024
MT,C,19.62,2020
MT,C,20.630000000000003,2021
MT,C,21.64,2022
MT,C,25.095,2023
MT,C,28.55,2024
MT,F,8.99,2020
MT,F,11.585,2021
MT,F,14.18,2022
MT,F,13.365,2023
MT,F,12.55,2024
MT,G,26.1,2020
MT,G,24.85,2021
MT,G,23.6,2022
MT,G,24.36,2023
MT,G,25.12,2024
MT,H,31.94,2020
MT,H,32.36,2021
MT,H,32.78,2022
MT,H,33.365,2023
MT,H,33.95,2024
MT,I,16.04,2020
MT,I,13.395,2021
MT,I,10.75,2022
MT,I,15.795,2023
MT,I,20.84,2024
MT,J,68.6,2020
MT,J,68.64,2021
MT,J,68.68,2022
MT,J,73.69,2023
MT,J,78.7,2024
MT,N,26.71,2020
MT,N,30.830000000000002,2021
MT,N,34.95,2022
MT,N,34.625,2023
MT,N,34.3,2024
NL,C,25.35,2020
NL,C,26.990000000000002,2021
NL,C,28.63,2022
NL,C,28.22,2023
NL,C,27.81,2024
NL,F,15.16,2020
NL,F,16.740000000000002,2021
NL,F,18.32,2022
NL,F,18.545,2023
NL,F,18.77,2024
NL,G,23.48,2020
NL,G,26.145,2021
NL,G,28.81,2022
NL,G,26.975,2023
NL,G,25.14,2024
NL,H,16.6,2020
NL,H,18.825000000000003,2021
NL,H,21.05,2022
NL,H,19.47,2023
NL,H,17.89,2024
NL,I,3.47,2020
NL,I,5.0600000000000005,2021
NL,I,6.65,2022
NL,I,5.42,2023
NL,I,4.19,2024
NL,J,62.67,2020
NL,J,68.095,2021
NL,J,73.52,2022
NL,J,71.88,2023
NL,J,70.24,2024
NL,N,17.24,2020
NL,N,19.939999999999998,2021
NL,N,22.64,2022
NL,N,21.64,2023
NL,N,20.64,2024
NO,C,33.46,2020
NO,C,35.03,2021
NO,C,36.6,2022
NO,C,33.96,2023
NO,C,31.32,2024
NO,F,24.53,2020
NO,F,25.39,2021
NO,F,26.25,2022
NO,F,22.689999999999998,2023
NO,F,19.13,2024
NO,G,29.92,2020
NO,G,30.935000000000002,2021
NO,G,31.95,2022
NO,G,33.015,2023
NO,G,34.08,2024
NO,H,26.79,2020
NO,H,25.785,2021
NO,H,24.78,2022
NO,H,21.705,2023
NO,H,18.63,2024
NO,I,19.18,2020
NO,I,19.740000000000002,2021
NO,I,20.3,2022
NO,I,17.22,2023
NO,I,14.14,2024
NO,J,71.97,2020
NO,J,72.82,2021
NO,J,73.67,2022
NO,J,72.355,2023
NO,J,71.04,2024
NO,N,33.75,2020
NO,N,32.81,2021
NO,N,31.87,2022
NO,N,29.3,2023
NO,N,26.73,2024
PL,C,16.14,2020
PL,C,19.445,2021
PL,C,22.75,2022
PL,C,25.98,2023
PL,C,29.21,2024
PL,F,8.42,2020
PL,F,9.775,2021
PL,F,11.13,2022
PL,F,14.344999999999999,2023
PL,F,17.56,2024
PL,G,18.62,2020
PL,G,22.645000000000003,2021
PL,G,26.67,2022
PL,G,30.09,2023
PL,G,33.51,2024
PL,H,11.45,2020
PL,H,15.29,2021
PL,H,19.13,2022
PL,H,21.240000000000002,2023
PL,H,23.35,2024
PL,I,12.88,2020
PL,I,16.855,2021
PL,I,20.83,2022
PL,I,23.479999999999997,2023
PL,I,26.13,2024
PL,J,61.3,2020
PL,J,66.275,2021
PL,J,71.25,2022
PL,J,73.735,2023
PL,J,76.22,2024
PL,N,18.66,2020
PL,N,22.96,2021
PL,N,27.26,2022
PL,N,29.12,2023
PL,N,30.98,2024
PT,C,19.69,2020
PT,C,19.0,2021
PT,C,18.31,2022
PT,C,20.854999999999997,2023
PT,C,23.4,2024
PT,G,25.76,2020
PT,G,26.03,2021
PT,G,26.3,2022
PT,G,26.735,2023
PT,G,27.17,2024
PT,H,15.85,2020
PT,H,21.065,2021
PT,H,26.28,2022
PT,H,25.87,2023
PT,H,25.46,2024
PT,I,10.91,2020
PT,I,14.385,2021
PT,I,17.86,2022
PT,I,17.83,2023
PT,I,17.8,2024
PT,N,32.41,2020
PT,N,29.805,2021
PT,N,27.2,2022
PT,N,30.009999999999998,2023
PT,N,32.82,2024
RO,C,4.58,2020
RO,C,5.5600000000000005,2021
RO,C,6.54,2022
RO,C,8.65,2023
RO,C,10.76,2024
RO,F,2.72,2020
RO,F,4.365,2021
RO,F,6.01,2022
RO,F,7.22,2023
RO,F,8.43,2024
RO,G,4.95,2020
RO,G,6.015000000000001,2021
RO,G,7.08,2022
RO,G,7.4350000000000005,2023
RO,G,7.79,2024
RO,H,3.56,2020
RO,H,5.12,2021
RO,H,6.68,2022
RO,H,8.655000000000001,2023
RO,H,10.63,2024
RO,I,4.34,2020
RO,I,3.3899999999999997,2021
RO,I,2.44,2022
RO,I,5.4399999999999995,2023
RO,I,8.44,2024
RO,J,34.4,2020
RO,J,39.28,2021
RO,J,44.16,2022
RO,J,45.41,2023
RO,J,46.66,2024
RO,N,4.19,2020
RO,N,6.995000000000001,2021
RO,N,9.8,2022
RO,N,12.585,2023
RO,N,15.37,2024
SE,C,39.09,2020
SE,C,38.835,2021
SE,C,38.58,2022
SE,C,37.34,2023
SE,C,36.1,2024
SE,F,19.4,2020
SE,F,21.725,2021
SE,F,24.05,2022
SE,F,22.025,2023
SE,F,20.0,2024
SE,G,33.45,2020
SE,G,36.900000000000006,2021
SE,G,40.35,2022
SE,G,37.615,2023
SE,G,34.88,2024
SE,H,18.28,2020
SE,H,16.725,2021
SE,H,15.17,2022
SE,H,16.155,2023
SE,H,17.14,2024
SE,I,13.86,2020
SE,I,13.774999999999999,2021
SE,I,13.69,2022
SE,I,11.399999999999999,2023
SE,I,9.11,2024
SE,J,59.5,2020
SE,J,61.76,2021
SE,J,64.02,2022
SE,J,66.095,2023
SE,J,68.17,2024
SE,N,27.38,2020
SE,N,26.195,2021
SE,N,25.01,2022
SE,N,25.375,2023
SE,N,25.74,2024
SI,C,24.81,2020
SI,C,28.57,2021
SI,C,32.33,2022
SI,C,28.975,2023
SI,C,25.62,2024
SI,F,10.59,2020
SI,F,8.925,2021
SI,F,7.26,2022
SI,F,9.745000000000001,2023
SI,F,12.23,2024
SI,G,30.0,2020
SI,G,32.42,2021
SI,G,34.84,2022
SI,G,33.69,2023
SI,G,32.54,2024
SI,H,12.71,2020
SI,H,11.96,2021
SI,H,11.21,2022
SI,H,14.185,2023
SI,H,17.16,2024
SI,I,18.19,2020
SI,I,17.16,2021
SI,I,16.13,2022
SI,I,17.805,2023
SI,I,19.48,2024
SI,J,79.36,2020
SI,J,79.725,2021
SI,J,80.09,2022
SI,J,82.39500000000001,2023
SI,J,84.7,2024
SI,N,17.44,2020
SI,N,22.48,2021
SI,N,27.52,2022
SI,N,25.125,2023
SI,N,22.73,2024
SK,C,17.83,2020
SK,C,17.825,2021
SK,C,17.82,2022
SK,C,17.305,2023
SK,C,16.79,2024
SK,F,6.91,2020
SK,F,5.22,2021
SK,F,3.53,2022
SK,F,5.755,2023
SK,F,7.98,2024
SK,G,15.19,2020
SK,G,15.364999999999998,2021
SK,G,15.54,2022
SK,G,17.705,2023
SK,G,19.87,2024
SK,H,8.98,2020
SK,H,8.195,2021
SK,H,7.41,2022
SK,H,10.475,2023
SK,H,13.54,2024
SK,I,5.98,2020
SK,I,6.18,2021
SK,I,6.38,2022
SK,I,5.59,2023
SK,I,4.8,2024
SK,J,58.38,2020
SK,J,55.96,2021
SK,J,53.54,2022
SK,J,58.165,2023
SK,J,62.79,2024
SK,N,14.74,2020
SK,N,11.205,2021
SK,N,7.67,2022
SK,N,12.585,2023
SK,N,17.5,2024
