geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict
DK,J,46.33,2025,3.84,79.08,66.0,146.89,4.99,86.46,71.16
DK,M,48.33,2021,3.88,39.22,69.5,114.52,4.74,36.29,38.82
DK,M,44.98,2023,3.81,23.58,70.8,102.71,4.63,47.08,53.62
DK,M,46.33,2025,3.84,63.71,73.3,121.0,4.8,44.06,48.8
DK,N,31.65,2021,3.45,19.04,26.4,59.67,4.09,29.41,24.21
DK,N,30.53,2023,3.42,9.32,25.9,61.67,4.12,32.23,27.35
DK,N,31.49,2025,3.45,33.06,29.2,65.36,4.18,25.58,28.92
EE,C,8.8,2021,2.17,2.72,26.8,34.41,3.54,14.83,14.63
EE,C,8.16,2023,2.1,3.12,24.1,37.46,3.62,14.37,13.27
EE,D,13.16,2021,2.58,8.29,62.5,179.74,5.19,22.52,35.52
EE,D,12.71,2023,2.54,14.04,56.1,193.87,5.27,22.27,40.31
EE,F,10.2,2021,2.32,0.64,20.9,35.63,3.57,6.0,8.75
EE,F,8.63,2023,2.16,3.63,22.7,41.98,3.74,3.84,10.47
EE,G,8.98,2021,2.19,2.07,34.4,40.76,3.71,14.9,15.24
EE,G,8.09,2023,2.09,3.47,31.8,42.79,3.76,16.24,20.03
EE,H,8.8,2021,2.17,2.36,29.2,39.99,3.69,11.33,13.42
EE,H,8.03,2023,2.08,5.61,26.5,38.34,3.65,11.75,12.75
EE,I,5.93,2021,1.78,0.19,15.8,15.63,2.75,6.69,5.58
EE,I,5.95,2023,1.78,1.64,19.9,25.45,3.24,6.31,8.07
EE,J,17.0,2021,2.83,11.51,61.8,57.7,4.06,83.26,69.98
EE,J,16.19,2023,2.78,20.49,59.0,81.91,4.41,83.59,63.15
EE,L,7.5,2021,2.01,0.0,36.1,297.59,5.7,8.5,6.11
EE,L,8.09,2023,2.09,1.66,30.0,291.24,5.67,8.4,6.93
EE,M,12.64,2021,2.54,8.51,67.0,57.61,4.05,21.16,33.08
EE,M,12.97,2023,2.56,10.75,77.4,60.65,4.11,20.92,37.54
EE,N,7.93,2021,2.07,2.63,29.9,44.9,3.8,15.14,16.2
EE,N,7.22,2023,1.98,7.07,35.1,61.96,4.13,19.44,18.89
EL,C,10.71,2021,2.37,5.35,28.2,41.29,3.72,17.71,14.79
EL,C,10.27,2023,2.33,5.19,26.2,48.35,3.88,17.08,14.46
EL,D,14.25,2021,2.66,27.89,38.4,183.96,5.21,37.19,38.29
EL,D,14.24,2023,2.66,5.55,45.4,192.0,5.26,46.07,51.79
EL,E,8.35,2021,2.12,3.92,13.9,67.15,4.21,18.08,11.67
EL,E,7.94,2023,2.07,9.91,15.9,59.65,4.09,22.4,15.79
EL,F,8.35,2021,2.12,2.82,19.8,16.63,2.81,12.7,7.41
