geo,nace_r2,ai_adoption,year
EL,I,0.7250000000000001,2022
EL,I,1.33,2023
EL,I,6.24,2024
EL,I,3.39,2025
EL,J,11.16,2021
EL,J,14.33,2022
EL,J,17.5,2023
EL,J,25.63,2024
EL,J,43.93,2025
EL,L,0.82,2021
EL,L,4.45,2022
EL,L,8.08,2023
EL,L,9.3,2024
EL,L,12.91,2025
EL,M,9.2,2021
EL,M,8.934999999999999,2022
EL,M,8.67,2023
EL,M,21.02,2024
EL,M,30.81,2025
EL,N,1.84,2021
EL,N,3.265,2022
EL,N,4.69,2023
EL,N,14.4,2024
EL,N,14.79,2025
ES,C,7.42,2021
ES,C,8.05,2022
ES,C,8.68,2023
ES,C,9.81,2024
ES,C,17.14,2025
ES,F,3.77,2021
ES,F,4.2,2022
ES,F,4.63,2023
ES,F,4.43,2024
ES,F,11.26,2025
ES,G,5.99,2021
ES,G,6.390000000000001,2022
ES,G,6.79,2023
ES,G,9.58,2024
ES,G,17.81,2025
ES,H,9.02,2021
ES,H,8.03,2022
ES,H,7.04,2023
ES,H,8.59,2024
ES,H,14.69,2025
ES,I,3.57,2021
ES,I,4.975,2022
ES,I,6.38,2023
ES,I,3.52,2024
ES,I,15.23,2025
ES,J,26.65,2021
ES,J,29.54,2022
ES,J,32.43,2023
ES,J,46.57,2024
ES,J,60.57,2025
ES,L,12.87,2021
ES,L,11.11,2022
ES,L,9.35,2023
ES,L,11.67,2024
ES,L,34.39,2025
ES,M,13.72,2021
ES,M,14.93,2022
ES,M,16.14,2023
ES,M,26.07,2024
ES,M,38.35,2025
ES,N,7.77,2021
ES,N,8.370000000000001,2022
ES,N,8.97,2023
ES,N,8.82,2024
ES,N,18.79,2025
FI,F,9.39,2021
FI,F,7.285,2022
FI,F,5.18,2023
FI,F,11.26,2024
FI,F,24.01,2025
FI,G,13.32,2021
FI,G,12.055,2022
FI,G,10.79,2023
FI,G,21.65,2024
FI,G,34.26,2025
FI,H,5.7,2021
FI,H,7.035,2022
FI,H,8.37,2023
FI,H,6.95,2024
FI,H,12.93,2025
FI,I,4.92,2021
FI,I,3.69,2022
FI,I,2.46,2023
FI,I,10.83,2024
FI,I,23.53,2025
FI,J,40.64,2021
FI,J,44.415,2022
FI,J,48.19,2023
FI,J,66.43,2024
FI,J,79.79,2025
FI,L,18.67,2021
FI,L,18.735,2022
FI,L,18.8,2023
FI,L,32.85,2024
FI,L,50.93,2025
FI,M,29.63,2021
FI,M,30.585,2022
FI,M,31.54,2023
FI,M,48.46,2024
FI,M,74.75,2025
FI,N,17.28,2021
FI,N,16.02,2022
FI,N,14.76,2023
FI,N,24.78,2024
FI,N,38.65,2025
FR,C,5.33,2021
FR,C,5.1,2022
FR,C,4.87,2023
FR,C,7.43,2024
FR,C,16.93,2025
FR,E,8.57,2021
FR,E,5.76,2022
FR,E,2.95,2023
FR,E,7.16,2024
FR,E,13.04,2025
FR,F,4.09,2021
FR,F,3.09,2022
FR,F,2.09,2023
FR,F,3.14,2024
FR,F,9.52,2025
FR,G,4.71,2021
FR,G,4.390000000000001,2022
FR,G,4.07,2023
FR,G,9.77,2024
FR,G,12.9,2025
FR,H,4.24,2021
FR,H,3.295,2022
FR,H,2.35,2023
FR,H,5.28,2024
FR,H,8.96,2025
FR,I,2.47,2021
FR,I,2.47,2022
FR,I,2.47,2023
FR,I,5.09,2024
FR,I,11.83,2025
FR,J,23.55,2021
FR,J,26.555,2022
FR,J,29.56,2023
FR,J,41.76,2024
FR,J,58.98,2025
FR,L,3.92,2021
FR,L,5.47,2022
FR,L,7.02,2023
FR,L,14.3,2024
FR,L,26.25,2025
FR,M,15.23,2021
FR,M,14.49,2022
FR,M,13.75,2023
FR,M,17.47,2024
FR,M,32.5,2025
FR,N,7.28,2021
FR,N,6.4399999999999995,2022
FR,N,5.6,2023
FR,N,11.25,2024
FR,N,19.32,2025
HR,C,8.29,2021
HR,C,7.494999999999999,2022
HR,C,6.7,2023
HR,C,9.71,2024
HR,C,12.9,2025
HR,E,11.22,2021
HR,E,8.11,2022
HR,E,5.0,2023
HR,E,7.93,2024
HR,E,3.46,2025
HR,F,4.85,2021
HR,F,3.955,2022
HR,F,3.06,2023
HR,F,4.39,2024
HR,F,3.45,2025
HR,G,8.51,2021
HR,G,6.9399999999999995,2022
HR,G,5.37,2023
HR,G,10.17,2024
HR,G,16.6,2025
HR,H,7.52,2021
HR,H,7.55,2022
HR,H,7.58,2023
HR,H,7.83,2024
HR,H,4.83,2025
HR,I,7.38,2021
HR,I,6.59,2022
HR,I,5.8,2023
HR,I,6.38,2024
HR,I,6.16,2025
HR,J,25.8,2021
HR,J,32.905,2022
HR,J,40.01,2023
HR,J,56.93,2024
HR,J,68.98,2025
HR,M,13.25,2021
HR,M,13.065000000000001,2022
HR,M,12.88,2023
HR,M,17.22,2024
HR,M,35.28,2025
HR,N,5.16,2021
HR,N,6.005,2022
HR,N,6.85,2023
HR,N,21.63,2024
HR,N,16.43,2025
HU,C,4.0,2021
HU,C,4.12,2022
HU,C,4.24,2023
HU,C,4.83,2024
HU,C,7.78,2025
HU,D,9.55,2021
HU,D,7.0600000000000005,2022
HU,D,4.57,2023
HU,D,6.41,2024
HU,D,19.91,2025
HU,E,3.55,2021
HU,E,4.165,2022
HU,E,4.78,2023
HU,E,6.94,2024
HU,E,10.87,2025
HU,F,0.55,2021
HU,F,1.175,2022
HU,F,1.8,2023
HU,F,4.27,2024
HU,F,4.53,2025
HU,G,1.65,2021
HU,G,2.335,2022
HU,G,3.02,2023
HU,G,6.84,2024
HU,G,9.79,2025
HU,H,3.32,2021
HU,H,2.775,2022
HU,H,2.23,2023
HU,H,3.95,2024
HU,H,5.86,2025
HU,I,0.66,2021
HU,I,1.56,2022
HU,I,2.46,2023
HU,I,4.53,2024
HU,I,5.2,2025
HU,J,13.09,2021
HU,J,13.815,2022
HU,J,14.54,2023
HU,J,32.88,2024
HU,J,46.05,2025
HU,L,2.3,2021
HU,L,2.84,2022
HU,L,3.38,2023
HU,L,4.16,2024
HU,L,4.69,2025
HU,M,3.71,2021
HU,M,4.475,2022
HU,M,5.24,2023
HU,M,17.3,2024
HU,M,22.86,2025
HU,N,4.83,2021
HU,N,3.8600000000000003,2022
HU,N,2.89,2023
HU,N,5.63,2024
HU,N,8.68,2025
IE,C,8.83,2021
IE,C,8.004999999999999,2022
IE,C,7.18,2023
IE,C,17.51,2024
IE,C,17.66,2025
IE,D,25.0,2021
IE,D,31.93,2022
IE,D,38.86,2023
IE,D,36.67,2024
IE,D,35.05,2025
IE,E,1.79,2021
IE,E,3.79,2022
IE,E,5.79,2023
IE,E,14.86,2024
IE,E,6.01,2025
IE,F,0.27,2021
IE,F,3.0949999999999998,2022
IE,F,5.92,2023
IE,F,6.24,2024
IE,F,9.2,2025
IE,G,5.12,2021
IE,G,5.055,2022
IE,G,4.99,2023
IE,G,11.71,2024
IE,G,13.13,2025
IE,H,4.98,2021
IE,H,5.525,2022
IE,H,6.07,2023
IE,H,7.87,2024
IE,H,16.76,2025
IE,I,4.27,2021
IE,I,3.4749999999999996,2022
IE,I,2.68,2023
IE,I,4.71,2024
IE,I,13.55,2025
IE,J,32.4,2021
IE,J,30.46,2022
IE,J,28.52,2023
IE,J,49.07,2024
IE,J,59.82,2025
IE,L,11.65,2021
IE,L,14.195,2022
IE,L,16.74,2023
IE,L,18.15,2024
IE,L,18.53,2025
IE,M,13.59,2021
IE,M,14.68,2022
IE,M,15.77,2023
IE,M,27.25,2024
IE,M,31.76,2025
IE,N,12.22,2021
IE,N,9.405000000000001,2022
IE,N,6.59,2023
IE,N,24.8,2024
IE,N,25.61,2025
IT,C,6.63,2021
IT,C,5.785,2022
IT,C,4.94,2023
IT,C,8.03,2024
IT,C,14.73,2025
IT,F,5.24,2021
IT,F,3.93,2022
IT,F,2.62,2023
IT,F,5.24,2024
IT,F,10.39,2025
IT,G,5.59,2021
IT,G,4.625,2022
IT,G,3.66,2023
IT,G,8.22,2024
IT,G,18.13,2025
IT,H,3.03,2021
IT,H,3.24,2022
IT,H,3.45,2023
IT,H,5.24,2024
IT,H,11.62,2025
IT,I,4.82,2021
IT,I,4.405,2022
IT,I,3.99,2023
IT,I,2.73,2024
IT,I,11.73,2025
IT,J,16.19,2021
IT,J,18.615000000000002,2022
IT,J,21.04,2023
IT,J,34.6,2024
IT,J,51.28,2025
IT,L,3.19,2021
IT,L,2.96,2022
IT,L,2.73,2023
IT,L,6.2,2024
IT,L,13.96,2025
IT,M,8.68,2021
IT,M,8.955,2022
IT,M,9.23,2023
IT,M,19.56,2024
IT,M,35.72,2025
IT,N,6.22,2021
IT,N,6.475,2022
IT,N,6.73,2023
IT,N,7.72,2024
IT,N,15.97,2025
LT,C,5.06,2021
LT,C,4.945,2022
LT,C,4.83,2023
LT,C,8.81,2024
LT,C,19.17,2025
LT,F,1.11,2021
LT,F,1.755,2022
LT,F,2.4,2023
LT,F,3.42,2024
LT,F,16.79,2025
LT,G,2.79,2021
LT,G,3.59,2022
LT,G,4.39,2023
LT,G,7.68,2024
LT,G,19.16,2025
LT,H,3.84,2021
LT,H,4.404999999999999,2022
LT,H,4.97,2023
LT,H,4.96,2024
LT,H,20.02,2025
LT,I,3.8,2021
LT,I,2.175,2022
LT,I,0.55,2023
LT,I,4.22,2024
LT,I,8.0,2025
LT,J,22.77,2021
LT,J,24.725,2022
LT,J,26.68,2023
LT,J,45.9,2024
LT,J,60.24,2025
LT,L,1.3,2021
LT,L,1.975,2022
LT,L,2.65,2023
LT,L,5.58,2024
LT,L,19.03,2025
LT,M,7.22,2021
LT,M,5.645,2022
LT,M,4.07,2023
LT,M,16.15,2024
LT,M,37.68,2025
LT,N,6.35,2021
LT,N,5.904999999999999,2022
LT,N,5.46,2023
LT,N,10.06,2024
LT,N,29.75,2025
LU,C,13.48,2021
LU,C,14.825000000000001,2022
LU,C,16.17,2023
LU,C,27.13,2024
LU,C,37.58,2025
LU,F,11.28,2021
LU,F,10.655,2022
LU,F,10.03,2023
LU,F,19.08,2024
LU,F,23.98,2025
LU,G,9.14,2021
LU,G,11.875,2022
LU,G,14.61,2023
LU,G,20.16,2024
LU,G,27.24,2025
LU,H,10.09,2021
LU,H,10.065,2022
LU,H,10.04,2023
LU,H,14.54,2024
LU,H,27.9,2025
LU,I,2.35,2021
LU,I,3.6100000000000003,2022
LU,I,4.87,2023
LU,I,6.83,2024
LU,I,16.95,2025
LU,J,28.69,2021
LU,J,30.175,2022
LU,J,31.66,2023
LU,J,48.69,2024
LU,J,73.48,2025
LU,M,20.8,2021
LU,M,21.39,2022
LU,M,21.98,2023
LU,M,37.49,2024
LU,M,51.65,2025
LU,N,16.09,2021
LU,N,14.74,2022
LU,N,13.39,2023
LU,N,25.64,2024
LU,N,31.88,2025
LV,C,2.61,2021
LV,C,3.375,2022
LV,C,4.14,2023
LV,C,8.39,2024
LV,C,12.35,2025
LV,D,2.88,2021
LV,D,5.619999999999999,2022
LV,D,8.36,2023
LV,D,9.63,2024
LV,D,15.54,2025
LV,E,2.48,2021
LV,E,1.24,2022
LV,E,0.0,2023
LV,E,9.02,2024
LV,E,11.84,2025
LV,F,3.32,2021
LV,F,2.415,2022
LV,F,1.51,2023
LV,F,5.28,2024
LV,F,4.89,2025
LV,G,3.05,2021
LV,G,2.73,2022
LV,G,2.41,2023
LV,G,6.71,2024
LV,G,10.37,2025
LV,H,3.45,2021
LV,H,3.775,2022
LV,H,4.1,2023
LV,H,5.19,2024
LV,H,5.9,2025
LV,I,0.28,2021
LV,I,0.645,2022
LV,I,1.01,2023
LV,I,1.34,2024
LV,I,4.46,2025
LV,J,13.71,2021
LV,J,17.32,2022
LV,J,20.93,2023
LV,J,37.38,2024
LV,J,49.82,2025
LV,L,2.7,2021
LV,L,4.275,2022
LV,L,5.85,2023
