geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict,unempl_r,infl_r,gdp,log_gdp
EE,I,5.95,2023,1.78,1.64,19.9,25.45,3.24,6.31,8.07,6.4,9.1,28080.0,10.24
EE,J,17.0,2021,2.83,11.51,61.8,57.7,4.06,83.26,69.98,6.2,4.5,23650.0,10.07
EE,J,16.19,2023,2.78,20.49,59.0,81.91,4.41,83.59,63.15,6.4,9.1,28080.0,10.24
EE,L,7.5,2021,2.01,0.0,36.1,297.59,5.7,8.5,6.11,6.2,4.5,23650.0,10.07
EE,L,8.09,2023,2.09,1.66,30.0,291.24,5.67,8.4,6.93,6.4,9.1,28080.0,10.24
EE,M,12.64,2021,2.54,8.51,67.0,57.61,4.05,21.16,33.08,6.2,4.5,23650.0,10.07
EE,M,12.97,2023,2.56,10.75,77.4,60.65,4.11,20.92,37.54,6.4,9.1,28080.0,10.24
EE,N,7.93,2021,2.07,2.63,29.9,44.9,3.8,15.14,16.2,6.2,4.5,23650.0,10.07
EE,N,7.22,2023,1.98,7.07,35.1,61.96,4.13,19.44,18.89,6.4,9.1,28080.0,10.24
EL,C,10.71,2021,2.37,5.35,28.2,41.29,3.72,17.71,14.79,14.7,0.6,17350.0,9.76
EL,C,10.27,2023,2.33,5.19,26.2,48.35,3.88,17.08,14.46,11.1,4.2,21300.0,9.97
EL,D,14.25,2021,2.66,27.89,38.4,183.96,5.21,37.19,38.29,14.7,0.6,17350.0,9.76
EL,D,14.24,2023,2.66,5.55,45.4,192.0,5.26,46.07,51.79,11.1,4.2,21300.0,9.97
EL,E,8.35,2021,2.12,3.92,13.9,67.15,4.21,18.08,11.67,14.7,0.6,17350.0,9.76
EL,E,7.94,2023,2.07,9.91,15.9,59.65,4.09,22.4,15.79,11.1,4.2,21300.0,9.97
EL,F,8.35,2021,2.12,2.82,19.8,16.63,2.81,12.7,7.41,14.7,0.6,17350.0,9.76
EL,F,8.46,2023,2.14,3.4,12.5,22.96,3.13,12.72,6.13,11.1,4.2,21300.0,9.97
EL,G,9.63,2021,2.26,1.88,28.8,22.28,3.1,18.51,16.51,14.7,0.6,17350.0,9.76
EL,G,9.5,2023,2.25,4.34,25.0,24.71,3.21,24.06,22.43,11.1,4.2,21300.0,9.97
EL,H,14.64,2021,2.68,5.43,33.5,38.74,3.66,28.35,15.76,14.7,0.6,17350.0,9.76
EL,H,15.11,2023,2.72,5.91,34.7,48.57,3.88,27.38,18.88,11.1,4.2,21300.0,9.97
EL,I,7.86,2021,2.06,0.12,19.1,13.19,2.58,13.11,4.46,14.7,0.6,17350.0,9.76
EL,I,9.93,2023,2.3,1.33,14.9,18.81,2.93,14.11,2.0,11.1,4.2,21300.0,9.97
EL,J,14.84,2021,2.7,11.16,65.5,54.55,4.0,56.01,47.59,14.7,0.6,17350.0,9.76
EL,J,16.06,2023,2.78,17.5,63.3,55.19,4.01,70.58,47.27,11.1,4.2,21300.0,9.97
EL,L,10.61,2021,2.36,0.82,55.2,1137.29,7.04,28.58,23.95,14.7,0.6,17350.0,9.76
EL,L,9.32,2023,2.23,8.08,56.3,1040.05,6.95,35.41,32.39,11.1,4.2,21300.0,9.97
EL,M,11.99,2021,2.48,9.2,65.5,22.06,3.09,27.64,26.0,14.7,0.6,17350.0,9.76
EL,M,13.12,2023,2.57,8.67,70.4,25.47,3.24,34.24,35.16,11.1,4.2,21300.0,9.97
EL,N,8.16,2021,2.1,1.84,30.3,19.74,2.98,21.44,18.42,14.7,0.6,17350.0,9.76
EL,N,8.2,2023,2.1,4.69,35.2,26.25,3.27,22.69,19.23,11.1,4.2,21300.0,9.97
ES,C,16.35,2021,2.79,7.42,40.7,67.51,4.21,17.03,18.04,14.9,3.0,26090.0,10.17
ES,C,15.85,2023,2.76,8.68,41.8,76.33,4.34,13.05,16.99,12.2,3.4,30980.0,10.34
ES,F,13.73,2021,2.62,3.77,24.5,48.58,3.88,7.48,13.04,14.9,3.0,26090.0,10.17
ES,F,13.1,2023,2.57,4.63,25.4,52.01,3.95,6.03,12.78,12.2,3.4,30980.0,10.34
ES,G,13.27,2021,2.59,5.99,34.8,46.29,3.83,17.21,20.72,14.9,3.0,26090.0,10.17
ES,G,13.18,2023,2.58,6.79,34.2,50.48,3.92,17.6,22.76,12.2,3.4,30980.0,10.34
ES,H,14.76,2021,2.69,9.02,33.0,48.81,3.89,16.57,18.99,14.9,3.0,26090.0,10.17
ES,H,14.35,2023,2.66,7.04,31.7,57.8,4.06,11.18,14.85,12.2,3.4,30980.0,10.34
ES,I,10.0,2021,2.3,3.57,23.5,37.98,3.64,4.43,14.77,14.9,3.0,26090.0,10.17
