geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict,unempl_r,infl_r,gdp,log_gdp
SI,F,14.68,2023,2.69,3.5,11.6,45.4,3.82,3.5,7.26,3.7,7.2,30200.0,10.32
SI,G,16.92,2021,2.83,10.95,31.3,44.25,3.79,18.75,30.0,4.8,2.0,24690.0,10.11
SI,G,17.15,2023,2.84,14.49,27.7,51.84,3.95,22.65,34.84,3.7,7.2,30200.0,10.32
SI,H,14.86,2021,2.7,12.52,26.1,48.23,3.88,4.87,12.71,4.8,2.0,24690.0,10.11
SI,H,15.31,2023,2.73,7.5,19.7,57.27,4.05,5.56,11.21,3.7,7.2,30200.0,10.32
SI,I,19.35,2021,2.96,5.08,19.2,20.08,3.0,4.95,18.19,4.8,2.0,24690.0,10.11
SI,I,20.26,2023,3.01,6.53,13.2,30.56,3.42,4.6,16.13,3.7,7.2,30200.0,10.32
SI,J,22.9,2021,3.13,39.65,69.3,58.43,4.07,91.38,79.36,4.8,2.0,24690.0,10.11
SI,J,22.49,2023,3.11,32.48,67.6,64.4,4.17,87.08,80.09,3.7,7.2,30200.0,10.32
SI,M,21.59,2021,3.07,18.59,69.7,38.83,3.66,25.31,37.22,4.8,2.0,24690.0,10.11
SI,M,21.53,2023,3.07,22.24,63.8,43.74,3.78,31.5,47.97,3.7,7.2,30200.0,10.32
SI,N,12.9,2021,2.56,9.02,21.7,24.9,3.21,10.39,17.44,4.8,2.0,24690.0,10.11
SI,N,13.56,2023,2.61,3.22,15.9,31.38,3.45,14.76,27.52,3.7,7.2,30200.0,10.32
SK,C,9.5,2021,2.25,5.4,15.9,33.2,3.5,18.5,17.83,6.8,2.8,18730.0,9.84
SK,C,8.79,2023,2.17,6.07,17.9,40.53,3.7,18.57,17.82,5.8,11.0,22640.0,10.03
SK,D,13.81,2021,2.63,6.63,38.0,113.13,4.73,25.2,37.4,6.8,2.8,18730.0,9.84
SK,D,13.11,2023,2.57,9.98,43.3,249.99,5.52,26.98,38.55,5.8,11.0,22640.0,10.03
SK,F,8.16,2021,2.1,2.12,17.7,43.49,3.77,4.49,6.91,6.8,2.8,18730.0,9.84
SK,F,7.93,2023,2.07,4.08,16.4,50.97,3.93,6.23,3.53,5.8,11.0,22640.0,10.03
SK,G,8.79,2021,2.17,4.88,19.7,25.65,3.24,15.43,15.19,6.8,2.8,18730.0,9.84
SK,G,8.29,2023,2.12,6.96,21.4,36.28,3.59,17.52,15.54,5.8,11.0,22640.0,10.03
SK,H,7.98,2021,2.08,6.23,12.3,39.24,3.67,7.29,8.98,6.8,2.8,18730.0,9.84
SK,H,7.78,2023,2.05,3.32,16.4,43.8,3.78,14.47,7.41,5.8,11.0,22640.0,10.03
SK,I,6.63,2021,1.89,1.25,11.9,14.86,2.7,2.46,5.98,6.8,2.8,18730.0,9.84
SK,I,5.48,2023,1.7,2.31,12.3,22.93,3.13,4.37,6.38,5.8,11.0,22640.0,10.03
SK,J,15.69,2021,2.75,18.19,71.4,60.13,4.1,69.63,58.38,6.8,2.8,18730.0,9.84
SK,J,14.55,2023,2.68,21.62,72.6,70.58,4.26,71.88,53.54,5.8,11.0,22640.0,10.03
SK,M,11.84,2021,2.47,3.67,65.6,38.11,3.64,18.24,21.33,6.8,2.8,18730.0,9.84
SK,M,11.53,2023,2.44,12.22,67.6,43.4,3.77,19.53,21.99,5.8,11.0,22640.0,10.03
SK,N,7.35,2021,1.99,8.6,23.2,28.46,3.35,16.9,14.74,6.8,2.8,18730.0,9.84
SK,N,7.21,2023,1.98,10.16,25.0,35.94,3.58,13.37,7.67,5.8,11.0,22640.0,10.03
