freq,size_emp,nace_r2,indic_is,unit,geo,num_2020,flag_2020,num_2022,flag_2022,num_2024,flag_2024
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,BA,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,BE,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,BG,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,CY,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,CZ,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,DE,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,DK,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EA,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EE,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EL,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,ES,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EU15,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EU27_2020,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,EU28,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,FI,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,FR,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,HR,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,HU,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,IE,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,IS,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,IT,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,LT,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,LU,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,LV,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,ME,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,MK,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,MT,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,NL,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,NO,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,PL,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,PT,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,RO,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,RS,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,SE,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,SI,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,SK,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,TR,,NaN,,NaN,,NaN
A,GE10,C-E,E_ITSP2,PC_ENT_CUSE,UK,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,AL,,NaN,16.35,b,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,AT,18.71,NaN,19.52,NaN,19.0,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,BA,11.97,NaN,11.15,NaN,13.34,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,BE,27.88,NaN,26.89,NaN,24.92,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,BG,13.47,NaN,12.4,NaN,13.55,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,CY,14.45,NaN,14.67,NaN,14.37,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,CZ,17.66,NaN,17.33,NaN,18.1,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,DE,17.51,NaN,18.95,NaN,19.01,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,DK,20.68,NaN,22.22,NaN,19.24,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,EA,15.54,NaN,16.0,NaN,15.39,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,EE,11.85,NaN,11.26,NaN,13.38,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,EL,19.03,NaN,16.42,NaN,18.8,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,ES,13.71,NaN,10.95,NaN,10.47,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,EU15,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,EU27_2020,16.57,NaN,17.08,NaN,16.07,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,EU28,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,FI,22.36,NaN,24.14,NaN,26.26,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,FR,13.59,NaN,12.48,b,12.46,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,HR,14.84,NaN,11.35,NaN,11.47,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,HU,27.58,NaN,28.04,NaN,24.89,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,IE,27.07,NaN,29.8,NaN,29.27,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,IS,9.04,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,IT,11.65,NaN,12.49,NaN,11.46,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,LT,12.15,NaN,12.89,NaN,12.76,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,LU,15.91,NaN,13.23,NaN,14.02,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,LV,15.47,NaN,14.74,NaN,13.1,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,ME,,u,25.81,NaN,23.64,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,MK,7.4,NaN,6.82,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,MT,20.0,NaN,25.36,NaN,25.0,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,NL,20.71,NaN,25.48,NaN,24.9,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,NO,11.5,NaN,13.25,NaN,11.31,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,PL,23.74,NaN,28.48,NaN,22.59,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,PT,16.29,NaN,16.62,NaN,15.54,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,RO,15.27,NaN,8.26,NaN,8.71,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,RS,15.46,NaN,17.93,NaN,18.65,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,SE,14.71,NaN,16.14,NaN,14.67,b
A,GE10,C-F,E_ITSP2,PC_ENT,SI,13.08,NaN,17.15,NaN,12.96,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,SK,14.98,NaN,15.52,NaN,14.76,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,TR,10.6,NaN,15.01,NaN,11.45,NaN
A,GE10,C-F,E_ITSP2,PC_ENT,UK,32.44,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,AT,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,BA,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,BE,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,BG,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,CY,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,CZ,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,DE,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,DK,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,EA,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,EE,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,EL,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,ES,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,EU15,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,EU27_2020,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,EU28,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,FI,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,FR,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,HR,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,HU,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,IE,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,IS,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,IT,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,LT,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,LU,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,LV,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,ME,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,MK,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,MT,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,NL,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,NO,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,PL,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,PT,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,RO,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,RS,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,SE,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,SI,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,SK,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,TR,,NaN,,NaN,,NaN
A,GE10,C-F,E_ITSP2,PC_ENT_CUSE,UK,,NaN,,NaN,,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,AT,15.5,NaN,16.39,NaN,16.96,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,BA,11.68,NaN,10.34,NaN,11.08,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,BE,26.4,NaN,,u,30.07,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,BG,12.9,NaN,12.25,NaN,12.62,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,CY,13.08,NaN,15.0,NaN,20.2,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,CZ,14.06,NaN,13.5,NaN,12.47,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,DE,10.47,NaN,13.04,NaN,12.53,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,DK,24.59,NaN,33.24,NaN,26.6,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,EA,12.73,NaN,13.09,NaN,12.75,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,EE,14.14,NaN,16.94,NaN,9.45,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,EL,,u,14.75,NaN,15.56,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,ES,,u,,u,11.08,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,EU15,,NaN,,NaN,,NaN
A,GE10,C10-C12,E_ITSP2,PC_ENT,EU27_2007,,NaN,,NaN,,NaN
