freq,nace_r2,indic_sb,size_emp,geo,num_2016,flag_2016,num_2020,flag_2020
A,B,V11110,TOTAL,CH,212.0,NaN,206.0,NaN
A,B,V11110,TOTAL,CY,52.0,NaN,42.0,NaN
A,B,V11110,TOTAL,CZ,399.0,NaN,440.0,NaN
A,B,V11110,TOTAL,DE,1753.0,NaN,1663.0,NaN
A,B,V11110,TOTAL,DK,214.0,NaN,229.0,NaN
A,B,V11110,TOTAL,EE,146.0,NaN,154.0,NaN
A,B,V11110,TOTAL,EL,682.0,NaN,560.0,NaN
A,B,V11110,TOTAL,ES,2046.0,NaN,1869.0,NaN
A,B,V11110,TOTAL,EU27_2007,,NaN,,NaN
A,B,V11110,TOTAL,EU27_2020,18038.0,NaN,17052.0,NaN
A,B,V11110,TOTAL,EU28,19237.0,NaN,,NaN
A,B,V11110,TOTAL,FI,829.0,NaN,887.0,NaN
A,B,V11110,TOTAL,FR,1675.0,NaN,1002.0,NaN
A,B,V11110,TOTAL,HR,228.0,NaN,190.0,NaN
A,B,V11110,TOTAL,HU,410.0,NaN,361.0,NaN
A,B,V11110,TOTAL,IE,413.0,NaN,452.0,NaN
A,B,V11110,TOTAL,IS,35.0,p,36.0,p
A,B,V11110,TOTAL,IT,2140.0,NaN,1745.0,NaN
A,B,V11110,TOTAL,LT,126.0,NaN,139.0,NaN
A,B,V11110,TOTAL,LU,10.0,NaN,9.0,NaN
A,B,V11110,TOTAL,LV,270.0,NaN,340.0,NaN
A,B,V11110,TOTAL,MK,187.0,NaN,200.0,p
A,B,V11110,TOTAL,MT,63.0,NaN,63.0,NaN
A,B,V11110,TOTAL,NL,467.0,NaN,583.0,NaN
A,B,V11110,TOTAL,NO,1113.0,NaN,1144.0,NaN
A,B,V11110,TOTAL,PL,2056.0,NaN,2504.0,NaN
A,B,V11110,TOTAL,PT,1045.0,NaN,1023.0,NaN
A,B,V11110,TOTAL,RO,1076.0,NaN,1023.0,NaN
A,B,V11110,TOTAL,RS,349.0,p,331.0,NaN
A,B,V11110,TOTAL,SE,721.0,NaN,587.0,NaN
A,B,V11110,TOTAL,SI,99.0,NaN,88.0,NaN
A,B,V11110,TOTAL,SK,226.0,NaN,303.0,NaN
A,B,V11110,TOTAL,UK,1199.0,b,,NaN
A,B,V12110,0-9,AL,,NaN,25.2,NaN
A,B,V12110,0-9,AT,134.5,NaN,104.6,NaN
A,B,V12110,0-9,BA,17.7,e,16.6,NaN
A,B,V12110,0-9,BE,104.5,NaN,116.6,NaN
A,B,V12110,0-9,BG,21.4,NaN,35.4,NaN
A,B,V12110,0-9,CH,321.1,NaN,226.9,NaN
A,B,V12110,0-9,CY,,NaN,,NaN
A,B,V12110,0-9,CZ,46.5,NaN,86.1,NaN
A,B,V12110,0-9,DE,588.2,NaN,1163.0,NaN
A,B,V12110,0-9,DK,2206.7,NaN,411.8,NaN
A,B,V12110,0-9,EE,,NaN,37.8,NaN
A,B,V12110,0-9,EL,85.8,NaN,61.4,NaN
A,B,V12110,0-9,ES,432.7,NaN,328.5,NaN
A,B,V12110,0-9,EU27_2007,,NaN,,NaN
A,B,V12110,0-9,EU27_2020,8109.4,NaN,5870.7,NaN
A,B,V12110,0-9,EU28,9849.5,NaN,,NaN
A,B,V12110,0-9,FI,229.1,NaN,299.7,NaN
A,B,V12110,0-9,FR,1251.8,NaN,769.7,NaN
A,B,V12110,0-9,HR,,NaN,25.5,NaN
A,B,V12110,0-9,HU,75.9,NaN,154.9,NaN
A,B,V12110,0-9,IE,139.0,NaN,237.8,NaN
A,B,V12110,0-9,IS,8.7,p,16.0,p
A,B,V12110,0-9,IT,1152.1,NaN,612.1,NaN
A,B,V12110,0-9,LT,14.7,NaN,17.2,NaN
A,B,V12110,0-9,LU,,NaN,,NaN
A,B,V12110,0-9,LV,,NaN,,NaN
A,B,V12110,0-9,MK,16.0,NaN,,NaN
A,B,V12110,0-9,MT,,NaN,18.3,NaN
A,B,V12110,0-9,NL,533.7,NaN,379.6,NaN
A,B,V12110,0-9,NO,3050.6,NaN,3630.4,NaN
A,B,V12110,0-9,PL,291.5,NaN,526.5,NaN
A,B,V12110,0-9,PT,97.9,NaN,113.2,NaN
A,B,V12110,0-9,RO,160.2,NaN,109.4,NaN
A,B,V12110,0-9,RS,25.8,p,27.0,NaN
A,B,V12110,0-9,SE,376.7,NaN,143.6,NaN
A,B,V12110,0-9,SI,19.7,NaN,21.1,NaN
A,B,V12110,0-9,SK,18.1,NaN,48.2,NaN
A,B,V12110,0-9,UK,1740.1,b,,NaN
A,B,V12110,10-19,AL,,NaN,33.9,NaN
A,B,V12110,10-19,AT,,NaN,,NaN
A,B,V12110,10-19,BA,14.3,e,15.2,NaN
A,B,V12110,10-19,BE,,NaN,,NaN
A,B,V12110,10-19,BG,52.3,NaN,35.9,NaN
A,B,V12110,10-19,CH,494.9,NaN,395.9,NaN
A,B,V12110,10-19,CY,,NaN,,NaN
A,B,V12110,10-19,CZ,48.5,NaN,48.8,NaN
A,B,V12110,10-19,DE,964.3,NaN,521.7,NaN
A,B,V12110,10-19,DK,,NaN,,NaN
A,B,V12110,10-19,EE,,NaN,26.5,NaN
A,B,V12110,10-19,EL,30.5,NaN,54.9,NaN
A,B,V12110,10-19,ES,364.8,NaN,390.9,NaN
A,B,V12110,10-19,EU27_2007,,NaN,,NaN
A,B,V12110,10-19,EU27_2020,4691.4,NaN,3820.0,e
A,B,V12110,10-19,EU28,5184.5,NaN,,NaN
A,B,V12110,10-19,FI,145.9,NaN,,NaN
A,B,V12110,10-19,FR,779.5,NaN,286.9,NaN
A,B,V12110,10-19,HR,23.4,NaN,18.8,NaN
A,B,V12110,10-19,HU,34.5,NaN,41.1,NaN
A,B,V12110,10-19,IE,132.0,NaN,,NaN
A,B,V12110,10-19,IS,18.1,p,9.6,p
A,B,V12110,10-19,IT,596.7,NaN,634.5,NaN
A,B,V12110,10-19,LT,9.7,NaN,13.4,NaN
A,B,V12110,10-19,LU,,NaN,,NaN
A,B,V12110,10-19,LV,,NaN,41.7,NaN
A,B,V12110,10-19,MK,,NaN,,NaN
A,B,V12110,10-19,MT,,NaN,4.7,NaN
A,B,V12110,10-19,NL,258.4,NaN,134.2,NaN
A,B,V12110,10-19,NO,953.0,NaN,312.7,NaN
A,B,V12110,10-19,PL,128.4,NaN,237.0,NaN
A,B,V12110,10-19,PT,101.2,NaN,125.8,NaN
A,B,V12110,10-19,RO,181.5,NaN,106.4,NaN
A,B,V12110,10-19,RS,12.9,p,27.3,NaN
A,B,V12110,10-19,SE,109.5,NaN,79.7,NaN
A,B,V12110,10-19,SI,30.2,NaN,34.7,NaN
A,B,V12110,10-19,SK,35.5,NaN,44.3,NaN
A,B,V12110,10-19,UK,493.1,b,,NaN
A,B,V12110,20-49,AL,,NaN,95.8,NaN
A,B,V12110,20-49,AT,,NaN,292.5,NaN
A,B,V12110,20-49,BA,34.2,e,54.0,NaN
A,B,V12110,20-49,BE,86.1,NaN,143.7,NaN
A,B,V12110,20-49,BG,45.0,NaN,63.6,NaN
A,B,V12110,20-49,CH,835.2,NaN,875.0,NaN
A,B,V12110,20-49,CY,,NaN,,NaN
A,B,V12110,20-49,CZ,111.5,NaN,119.1,NaN
A,B,V12110,20-49,DE,1574.6,NaN,1361.8,NaN
A,B,V12110,20-49,DK,,NaN,,NaN
A,B,V12110,20-49,EE,67.7,NaN,112.2,NaN
A,B,V12110,20-49,EL,51.1,NaN,,NaN
A,B,V12110,20-49,ES,664.4,NaN,560.0,NaN
A,B,V12110,20-49,EU27_2007,,NaN,,NaN
A,B,V12110,20-49,EU27_2020,7966.5,NaN,6539.6,NaN
A,B,V12110,20-49,EU28,10149.6,NaN,,NaN
A,B,V12110,20-49,FI,111.3,NaN,237.3,NaN
A,B,V12110,20-49,FR,1218.8,NaN,552.2,NaN
A,B,V12110,20-49,HR,86.5,NaN,41.6,NaN
A,B,V12110,20-49,HU,106.5,NaN,91.4,NaN
A,B,V12110,20-49,IE,114.2,NaN,129.3,NaN
A,B,V12110,20-49,IS,12.8,p,21.5,p
A,B,V12110,20-49,IT,1058.9,NaN,,NaN
A,B,V12110,20-49,LT,53.3,NaN,,NaN
A,B,V12110,20-49,LU,,NaN,,NaN
A,B,V12110,20-49,LV,,NaN,35.2,NaN
A,B,V12110,20-49,MK,28.4,NaN,,NaN
A,B,V12110,20-49,MT,,NaN,0.0,NaN
A,B,V12110,20-49,NL,479.5,NaN,235.4,NaN
A,B,V12110,20-49,NO,478.4,NaN,573.9,NaN
A,B,V12110,20-49,PL,199.7,NaN,340.7,NaN
A,B,V12110,20-49,PT,188.9,NaN,214.2,NaN
A,B,V12110,20-49,RO,149.2,NaN,321.3,NaN
A,B,V12110,20-49,RS,68.7,p,43.4,NaN
A,B,V12110,20-49,SE,170.5,NaN,175.2,NaN
A,B,V12110,20-49,SI,29.2,NaN,36.2,NaN
A,B,V12110,20-49,SK,77.8,NaN,49.4,NaN
A,B,V12110,20-49,UK,2183.1,b,,NaN
A,B,V12110,50-249,AL,,NaN,64.2,NaN
A,B,V12110,50-249,AT,,NaN,,NaN
A,B,V12110,50-249,BA,66.8,e,71.4,NaN
A,B,V12110,50-249,BE,295.2,NaN,229.5,NaN
A,B,V12110,50-249,BG,154.0,NaN,147.2,NaN
A,B,V12110,50-249,CH,520.7,NaN,511.2,NaN
A,B,V12110,50-249,CY,0.0,NaN,0.0,NaN
