freq,size_emp,nace_r2,indic_is,unit,geo,num_2020,flag_2020,num_2022,flag_2022,num_2024,flag_2024
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,RO,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,RS,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,SE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,SI,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,SK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,TR,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,UK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSPT2,PC_ENT,AL,,NaN,,u,,NaN
A,GE10,C,E_ITSPT2,PC_ENT,AT,14.79,NaN,18.53,NaN,19.16,NaN
A,GE10,C,E_ITSPT2,PC_ENT,BA,7.89,NaN,4.69,NaN,6.98,NaN
A,GE10,C,E_ITSPT2,PC_ENT,BE,,u,21.69,NaN,19.76,NaN
A,GE10,C,E_ITSPT2,PC_ENT,BG,4.08,NaN,3.98,NaN,4.36,NaN
A,GE10,C,E_ITSPT2,PC_ENT,CY,6.55,NaN,7.6,NaN,5.37,NaN
A,GE10,C,E_ITSPT2,PC_ENT,CZ,11.86,NaN,11.6,NaN,11.71,NaN
A,GE10,C,E_ITSPT2,PC_ENT,DE,14.39,NaN,14.78,NaN,15.5,NaN
A,GE10,C,E_ITSPT2,PC_ENT,DK,16.47,NaN,18.05,NaN,16.4,NaN
A,GE10,C,E_ITSPT2,PC_ENT,EA,10.57,NaN,11.34,NaN,10.71,NaN
A,GE10,C,E_ITSPT2,PC_ENT,EE,7.59,NaN,6.72,NaN,7.57,NaN
A,GE10,C,E_ITSPT2,PC_ENT,EL,,u,9.03,NaN,9.27,NaN
A,GE10,C,E_ITSPT2,PC_ENT,ES,9.03,NaN,7.08,NaN,7.42,NaN
