freq,size_emp,nace_r2,indic_is,unit,geo,2021,2023,2024,2025
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT,TR,,3.88,,5.18
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,AT,,7.8,,4.83
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,BA,,21.44,,12.27
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,BE,,19.49,,16.26
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,BG,,3.66,,5.89
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,CY,,15.38,,17.58
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,CZ,,9.05,,18.18
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,DE,,13.68,,11.87
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,DK,,25.89,,21.37
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,EA,,14.53,,17.26
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,EE,,13.29,,21.0
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,EL,,7.88,,8.52
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,ES,,10.8,12.63,14.78
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,EU27_2020,,13.86,,16.41
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,FI,,22.9,,
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,FR,,10.08,,13.71
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,HR,,23.95,,18.39
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,HU,,22.0,,18.49
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,IE,,21.65,,20.13
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,IT,,17.49,,25.92
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,LT,,19.27,,26.82
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,LU,,11.26,,16.24
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,LV,,15.08,,13.61
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,ME,,5.59,,
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,MT,,16.01,,19.31
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,NL,,26.73,,24.78
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,NO,,10.41,,13.19
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,PL,,10.63,,12.36
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,PT,,13.16,,15.29
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,RO,,6.65,,9.06
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,RS,,12.15,,10.49
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,SE,,20.7,,15.94
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,SI,,8.48,,10.7
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,SK,,10.78,,12.5
A,GE10,C,E_AIX_CC1SI_DA,PC_ENT_IUSE,TR,,4.02,,5.28
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,AT,,17.82,,16.43
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,BA,,6.55,,11.94
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,BE,,13.39,,17.58
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,BG,,5.89,,4.09
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,CY,,24.12,,21.3
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,CZ,,19.21,,11.79
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,DE,,12.58,,13.6
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,DK,,27.18,,14.54
