freq,product,nrg_cons,unit,tax,currency,geo,2016,2020,flag_2016,flag_2020
S,6000,MWH20-499,KWH,I_TAX,PPS,PL,0.24214999999999998,0.2665,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,PT,0.2363,0.2034,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,RO,0.226,0.26605,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,RS,0.1925,0.21105000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,SE,0.0732,0.0769,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,SI,0.16095,0.1678,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,SK,0.248,0.2301,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,TR,0.18195,0.22105,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,PPS,UK,0.1575,,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,AL,,0.10364999999999999,NaN,e
S,6000,MWH20-499,KWH,X_TAX,EUR,AT,0.0886,0.1036,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,BA,0.0858,0.0884,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,BE,0.1199,0.11175,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,BG,0.0998,0.0934,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,CY,0.1301,0.12440000000000001,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,CZ,0.11555,0.1243,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,DE,0.0985,0.1004,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,DK,0.06664999999999999,0.07935,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,EA,0.1015,0.10139999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,EE,0.08055000000000001,0.078,NaN,NaN
